Phone 	 Mean Score 	 Std Score 	 Max. Z-score 	 Mean Duration 	 Std Duration 	 Max. Z-score
AH	11.2428755926	0.537176342149	2.43909495345	121.0		28.4722086721	3.30146498583
P	11.4315788713	0.528142195077	1.83422706192	110.333333333	19.6185852927	3.33017556355
R	10.3850887088	0.527615128948	2.70317531425	80.1111111111	12.4046984328	2.02432257802
OW	11.0887600295	0.588593104267	2.2016379208	115.666666667	24.4404037064	2.83683257307
CH	11.3338872036	0.381903739725	1.85030500999	132.555555556	28.6088995909	3.06043073336
DH	10.4476893708	0.569393915283	2.96545710727	63.2222222222	27.9911802688	6.13685368492
AH	10.6263863696	0.619178459789	2.15968830145	85.8888888889	16.1688620121	2.41891551068
T	11.0890696035	0.517542945341	2.10737886869	115.666666667	26.5329983228	2.66335021044
IY	10.6588249892	0.443986865969	1.81950566488	102.111111111	17.5906821575	2.43815950427
CH	10.9905794617	0.564367630933	1.84170304316	117.888888889	18.8116066089	2.81150302514
IH	10.1939482817	0.677334789639	2.36680297148	74.5555555556	14.9004929904	2.04318370298
NG	10.8163677592	0.68958902445	1.70914134355	116.111111111	27.5860046821	2.21529401649
AH	10.552117482	0.676222098343	2.42553594646	88.1111111111	44.6130136581	5.08571087862
V	10.5121196188	0.497684334378	1.84827145201	73.2222222222	20.252724249	2.06282262397
P	10.9324778163	0.475246152365	2.55205223975	75.6666666667	22.0504472114	2.69079954545
R	10.3938987157	0.638543063185	1.67172065016	57.8888888889	9.09755088465	2.98004500935
AH	9.93376237665	0.860324914402	1.85405028049	48.7777777778	7.68516287368	3.4120580986
N	9.87209258273	0.538328479907	2.60422460968	57.8888888889	10.2463483408	2.64592908706
AH	10.6842172583	0.54721230649	2.1799960597	88.5555555556	14.4768866444	2.31787098842
N	10.5342933799	0.762220247915	2.82192509641	77.0		17.4610678049	3.3216754352
S	10.983229382	0.957678237001	1.5579024079	105.666666667	29.6198131887	2.04817857156
IY	11.1702637809	0.695357267321	2.11253556516	128.333333333	28.9059778516	2.65227722308
EY	10.7036533139	0.580735309491	1.89463884276	112.333333333	23.2283351869	2.26734573282
SH	10.776776156	0.619139408746	3.57414919286	110.777777778	12.5589965786	2.05253481967
AH	10.2323886127	0.839599185001	2.47630843824	74.7777777778	17.3190824608	2.32242223647
N	10.6068927426	0.658473918131	2.24736789808	100.111111111	40.0900221569	2.86577264635
W	10.4470394613	0.763650022336	2.00199163739	92.1111111111	31.7365700186	1.66649669003
IH	9.88361164364	0.590197566452	2.97938872039	60.3333333333	12.5786415094	1.96099607801
TH	10.6759374616	0.609526997568	2.05289099901	75.6666666667	21.7460085737	1.80876105148
M	10.4728914943	0.488482492869	2.69343136573	95.8888888889	27.5537633826	2.50822764758
AO	10.3601343675	0.712215183385	2.40174529491	90.1111111111	22.6688452112	2.86246997958
R	10.2095577818	0.714761915366	2.90766524582	77.0		17.8387842137	2.13019001434
K	11.0326747703	0.534151254619	2.29779452578	117.666666667	25.8542925729	2.81062289606
AA	11.0037769834	0.60533607632	2.11568441996	113.888888889	23.2113212054	2.1062518784
N	10.4847291842	0.651742251723	2.60973630015	76.7777777778	14.3432351672	1.96763295681
F	10.8362180039	0.593831955283	1.95755952512	91.2222222222	16.7715220125	2.75599448802
AH	10.3079071742	0.654249509797	2.22701178822	58.5555555556	11.5769033579	3.14803046357
D	10.3745205206	0.722364833655	2.31717416315	63.8888888889	16.0861876185	3.79898037747
AH	10.596610277	0.625017964951	2.14097306781	75.4444444444	19.5454519354	2.53540085537
N	10.9594621176	0.547303499615	2.10313797034	90.1111111111	22.7666639553	2.41093244916
S	11.3150928313	0.425150674363	2.39121152832	214.333333333	89.8739858543	1.88411954498
